id,ECO_NAME,feature_x,feature_y,BIOME ID,Carbon Storage Trees - kg per Tree,Carbon Storage Rooftops - kg per m2^2,Oxygen Trees - kg / tree,Oxygen Rooftops - kg / m2,Carbon Dioxide Cars - kg / car,Urban Cooling Trees - Kelvin / tree,Urban Cooling Rooftops - Kelvin / m2^2
1163,Eastern Himalayan alpine shrub and meadows,"87,778,020,396,762,400","28,181,752,824,279,900",10,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1164,Yunnan Plateau subtropical evergreen forests,"105,145,381,202,604,000","25,389,325,335,791,500",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1165,Yunnan Plateau subtropical evergreen forests,"104,621,841,723,920,000","23,674,481,275,301,100",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1166,Khathiar-Gir dry deciduous forests,"75,586,996,274,776,800","27,110,243,586,768,300",2,0.2,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
1167,Khathiar-Gir dry deciduous forests,"76,575,633,564,160,200","23,210,454,753,023,500",2,0.2,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
1168,Brahmaputra Valley semi-evergreen forests,"94,901,609,940,437,100","27,171,090,703,258,900",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1169,Lower Gangetic Plains moist deciduous forests,"91,913,696,346,475,700","24,250,304,850,513,200",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1170,Lower Gangetic Plains moist deciduous forests,"88,150,338,140,596,700","23,584,293,548,928,600",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1171,Northern Indochina subtropical forests,"102,058,111,276,667,000","23,250,861,027,997,300",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1172,Northern Indochina subtropical forests,"100,029,542,218,568,000","23,561,648,288,899,800",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1173,Northern Indochina subtropical forests,"97,503,521,053,316,500","21,131,594,248,630,400",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1174,Northern Indochina subtropical forests,"103,826,218,576,632,000","19,943,479,809,925,100",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1175,Mizoram-Manipur-Kachin rain forests,"95,720,674,786,308,600","25,953,717,568,693,400",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1176,Gulf of Oman desert and semi-desert,"56,861,495,065,198,100","22,812,504,402,818,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1177,Meseta Central matorral,"-100,958,597,545,882,000","23,622,961,268,785,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1178,Narmada Valley dry deciduous forests,"75,582,895,959,701,900","21,681,341,919,246,200",2,0.2,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
1179,Chhota-Nagpur dry deciduous forests,"86,659,421,728,099,000","22,431,702,534,682,400",2,0.2,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
1180,Southwestern Arabian foothills savanna,"50,440,020,406,770,000","15,636,414,240,803,600",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1181,Southwestern Arabian foothills savanna,"43,763,079,600,234,200","13,121,097,815,433,600",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1182,Irrawaddy moist deciduous forests,"95,229,640,583,170,300","24,103,340,350,142,100",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1183,Eastern highlands moist deciduous forests,"79,553,084,365,024,900","19,169,938,735,393,200",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1184,Eastern highlands moist deciduous forests,"83,571,499,936,650,700","23,405,531,046,212,800",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1185,Eastern highlands moist deciduous forests,"79,793,706,128,040,400","17,831,567,395,833,000",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1186,South Saharan steppe and woodlands,"10,700,579,100,940,200","17,403,003,311,212,500",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1187,South Saharan steppe and woodlands,"5,250,711,387,746,510","18,464,776,409,031,300",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1188,South Saharan steppe and woodlands,"21,642,486,261,069,700","18,406,005,933,369,300",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1189,South Saharan steppe and woodlands,"16,590,933,885,883,400","16,037,869,830,693,400",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1190,South Saharan steppe and woodlands,"35,778,160,687,276,200","19,409,936,931,761,800",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1191,South Saharan steppe and woodlands,0.682415047,"18,972,623,991,237,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1192,South Saharan steppe and woodlands,"29,302,513,897,269,100","17,829,569,364,171,500",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1193,South Saharan steppe and woodlands,-0.122959808,"18,282,799,491,172,000",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1194,South Saharan steppe and woodlands,"25,681,879,702,409,300","17,737,055,968,588,500",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1195,Southwestern Arabian montane woodlands,"40,779,524,867,745,300","20,324,777,812,417,500",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1196,Northern dry deciduous forests,"82,657,868,207,588,100","20,418,440,030,481,500",2,0.2,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
1197,Deccan thorn scrub forests,"78,165,533,098,188,100","14,014,682,226,525,600",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1198,Deccan thorn scrub forests,"77,437,004,681,859,700","16,472,857,982,891,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1199,Deccan thorn scrub forests,"76,126,466,671,146,100","14,098,853,072,222,900",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1200,Central Deccan Plateau dry deciduous forests,"76,458,710,434,462,200","21,035,309,717,259,400",2,0.2,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
1201,Central Deccan Plateau dry deciduous forests,"80,508,574,909,946,900","21,323,089,341,199,600",2,0.2,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
1202,Kayah-Karen montane rain forests,"98,721,996,198,660,400","15,014,354,131,062,600",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1203,Sahelian Acacia savanna,"20,935,727,339,095,900","11,285,029,102,382,000",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1204,Sahelian Acacia savanna,"24,107,217,870,405,000","16,081,321,832,887,300",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1205,Sahelian Acacia savanna,"-14,319,080,525,833,000","16,316,513,555,843,700",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1206,Sahelian Acacia savanna,"22,070,438,561,251,100","13,442,316,437,642,400",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1207,Sahelian Acacia savanna,"14,625,540,437,002,500","11,091,239,455,708,800",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1208,Sahelian Acacia savanna,"-9,972,763,705,345,130","17,578,106,950,275,800",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1209,Sahelian Acacia savanna,"12,012,504,617,525,500","14,569,618,928,230,900",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1210,Sahelian Acacia savanna,"35,643,786,440,172,800","14,141,018,744,870,400",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1211,Sahelian Acacia savanna,"23,358,406,632,305,800","15,223,497,923,464,000",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1212,Sahelian Acacia savanna,"18,649,470,209,290,600","15,540,977,630,216,900",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1213,Sahelian Acacia savanna,"-13,444,616,423,877,600","19,229,113,724,123,100",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1214,Sahelian Acacia savanna,"-1,771,449,827,503,410","14,724,913,608,837,800",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1215,Sahelian Acacia savanna,"18,673,539,207,529,500","15,449,709,940,218,500",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1216,Sahelian Acacia savanna,"28,424,891,547,209,000","14,288,114,160,703,500",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1217,Sahelian Acacia savanna,"12,052,074,397,806,100","14,876,012,784,307,800",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1218,Sahelian Acacia savanna,"36,450,629,899,544,000","15,585,314,432,177,500",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1219,Sahelian Acacia savanna,"17,053,199,546,634,300","10,732,833,893,927,600",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1220,Sahelian Acacia savanna,"-15,381,328,414,315,300","18,095,910,046,104,400",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1221,Sahelian Acacia savanna,"28,825,305,573,056,500","10,337,881,627,477,700",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1222,Sahelian Acacia savanna,"37,118,066,344,920,400","15,358,267,896,461,900",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1223,Sahelian Acacia savanna,"-9,338,371,473,059,780","16,345,765,180,788,900",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1224,Sahelian Acacia savanna,"22,847,483,699,480,900","10,778,185,650,457,700",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1225,Sahelian Acacia savanna,0.834584556,"15,216,201,159,250,300",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1226,Sahelian Acacia savanna,"-11,072,779,402,843,200","18,669,606,114,288,200",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1227,Sahelian Acacia savanna,"16,112,927,799,831,900","13,481,739,054,796,800",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1228,Luzon rain forests,"120,575,630,533,283,000","16,672,166,957,278,800",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1229,Ethiopian xeric grasslands and shrublands,"42,653,113,952,589,800","12,800,912,580,961,000",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1230,Central Indochina dry forests,"105,651,749,914,807,000","14,566,594,028,173,100",2,0.2,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
1231,Central Indochina dry forests,"102,443,783,606,426,000","17,120,075,103,201,100",2,0.2,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
